Lineage	LineagePretty
AML	AML
breast	Breast
chondrosarcoma	Chondrosarcoma
CML	CML
colorectal	Colorectal
endometrium	Endometrium
esophagus	Esophagus
Ewings_sarcoma	Ewing Sarcoma
glioma	Glioma
kidney	Kidney
liver	Liver
lung_NSC	Lung (NSCLC)
lung_small_cell	Lung (SCL)
lymphoma_DLBCL	Lymphoma (DLBCL)
medulloblastoma	Medulloblastoma
melanoma	Melanoma
meningioma	Meningioma
neuroblastoma	Neuroblastoma
osteosarcoma	Osteosarcoma
ovary	Ovary
pancreas	Pancreas
prostate	Prostate
soft_tissue	Soft Tissue
stomach	Stomach
T-cell_ALL	T-cell ALL
T-cell_lymphoma_other	T-cell Lymphoma (ALCL)
thyroid	Thyroid
upper_aerodigestive	Upper Aerodigestive
urinary_tract	Urinary Tract
