SeedEssentials-Matrix1	SeedEssentials-Matrix2	CoreEssentials-24of48screens	ConstitutiveCoreEssentials(CCE)	Nonessential Genes (NE)
ACTR1A	ACTR1A	ADCYAP1R1	ALYREF	ABCG8
AQR	AQR	ALG10B	AQR	ACCSL
ARCN1	ARCN1	ALYREF	ARCN1	ACTL7A
BRIX1	C19orf10	AQR	BRIX1	ACTL7B
C19orf10	CCT3	ARCN1	C12orf66	ACTL9
CCT3	CCT4	AURKB	CCT3	ACTRT1
CCT4	CCT7	BRIX1	CCT4	ADAD1
CCT7	CDK17	BST2	CCT6A	ADAM18
CCT8	CHMP2A	C12orf66	CCT7	ADAM2
CDC5L	CLTC	CCNB2	CCT8	ADAM20
CDK11B	COPB1	CCNB3	CDC40	ADAM30
CDK17	COPB2	CCT3	CDC5L	ADH7
CHMP2A	COPS6	CCT4	CDK17	AFM
CLTC	COPZ1	CCT6A	CHD4	AICDA
COPB1	DDX51	CCT7	CHMP2A	AIPL1
COPS2	DYNC1H1	CCT8	CLTC	ALPI
COPZ1	EEF2	CDC40	COPA	ALPPL2
DDX51	EFTUD2	CDC5L	COPB1	ALX3
DYNC1H1	EIF2S2	CDK11B	COPS2	AMELX
EEF2	EIF3A	CDK17	COPS4	ANKRD30A
EFTUD2	EIF3B	CHD4	COPS6	ANKRD60
EIF2S2	EIF3C	CHMP2A	COPS8	ANTXRL
EIF3A	EIF3D	CLTC	COPZ1	APOA4
EIF3B	EIF3F	CNOT3	CSE1L	APOBEC1
EIF3C	EIF3G	COPA	CTDNEP1	APOF
EIF3D	EIF3H	COPB1	DDB1	AQP12A
EIF3F	EIF3I	COPS2	DDX18	AQP8
EIF3G	EIF4A3	COPS4	DDX46	ARGFX
EIF3H	EIF5B	COPS6	DDX49	ART1
EIF3I	ETF1	COPS8	DDX51	ASB17
EIF4A3	FTSJ3	COPZ1	DNM2	ASIC5
EIF5B	GEMIN5	CPSF1	DYNC1H1	ASZ1
ETF1	HEATR1	CSE1L	DYNC1I2	ATOH1
FTSJ3	HNRNPC	CTDNEP1	EEF2	ATP4B
GRPEL2	HNRNPM	CYP1A2	EFTUD2	ATP6V1G3
HEATR1	HNRNPU	DAPK1	EIF1AX	AWAT1
HNRNPC	IARS2	DDB1	EIF2B4	AWAT2
HNRNPM	INTS9	DDX18	EIF2S2	B3GNT6
HNRNPU	KARS	DDX46	EIF3A	BANF2
ICK	KPNB1	DDX49	EIF3B	BARHL1
INTS9	LSM3	DDX51	EIF3C	BEND2
KARS	LSM4	DMKN	EIF3D	BHLHE23
KPNB1	MED14	DNM2	EIF3F	BIRC8
KRAS	MRPS35	DUOXA2	EIF3G	BMP10
LSM3	NACA	DYNC1H1	EIF3I	BMP15
LSM4	NAPA	DYNC1I2	EIF4A3	BPIFA1
LSM6	NUP93	EEF2	EIF5B	BPIFA3
