Sample	Chr	Start	End	AmpName	CellLine	Gene
DANG_PANCREAS	chr12	1	41000000	chr12p-KRAS	DAN-G	KRAS
RERFLCAD1_LUNG	chr12	1	33300000	chr12p-KRAS	RERFLCAD1	KRAS
TCCPAN2_PANCREAS	chr12	1	33300000	chr12p-KRAS	TCCPAN2	KRAS
YAPC_PANCREAS	chr12	1	33300000	chr12p-KRAS	YAPC	KRAS
HCC827_LUNG	chr7	29000000	81000000	chr7p-EGFR	HCC827	EGFR
YAPC_PANCREAS	chr6	1	56000000	chr6p	YAPC	
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	chr22	18000000	51304566	chr22q	K-562	BCR
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	chr9	124000000	141213431	chr9q	K-562	ABL1
SU8686_PANCREAS	chr19	29000000	46000000	chr19q	SU.86.86	AKT2
PANC1_PANCREAS	chr19	29000000	51000000	chr19q	PANC-1	AKT2
HT29_LARGE_INTESTINE	chr8	89000000	146000000	chr8q	HT-29	MYC
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	chr1	24000000	71000000	chr1p	THP-1	
MDAMB468_BREAST	chr7	29000000	81000000	chr7p-EGFR	MDA-MB-468	EGFR
HCC95_LUNG	chr11	19000000	46000000	chr11p	HCC95	
KURAMOCHI_OVARY	chr12	1	41000000	chr12p-KRAS	KURAMOCHI	KRAS
SKBR3_BREAST	chr8	48100000	146364022	chr8q	SKBR3	
AU565_BREAST	chr8	48100000	146364022	chr8q	AU565	
HCC1419_BREAST	chr8	1	146364022	chr8	HCC1419	
HCC1419_BREAST	chr20	1	63025520	chr20	HCC1419	
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	chr9	1	36000000	chr9p-JAK2	HEL	JAK2
